List	ItemNumb	$Cond	$fullitem	$Detail	$DetailPlace	DetailWC	$DetailClause	QuestPresent	$Question	ButtonPress	CorrectResp
1	1	"CE.N"	"*Andy Warhol had rheumatic fever \n\nas a child.* The fever* left scars on* the valves of his heart \n\nat an* early age.* Warhol's heart* was restricted* in its ability to pump \n\noxygen through his* lungs* later* in life.* Warhol died as an adult from a \n\ndysregulated heartbeat after a* routine surgery.*"	"lungs"	"effect"	35	"3rd"	0	"empty"	0	0
1	2	"F"	"Most of Star Trek's science is based on the energy-matter conversion \n\nhypothesis. When in deep space, the ship's energy shield protects it from \n\na hull breach. If there is a breach, the same energy can be bounded into \n\nmatter to repair the hull. Although its application is fictional, the \n\nprinciple is rooted in science."	"breach."	"empty"	0	"empty"	0	"empty"	0	0
1	3	"F"	"The Donskoy hairless cat was bred in the late 20th century in Russia. The \n\ncat is unrelated to another hairless breed of cat, the Sphynx. They come \n\nby their hairlessness through separate genetic mutations. Despite their \n\nlack of hair, the cats require frequent grooming and have excessively oily \n\ngrey skin."	"grey"	"empty"	0	"empty"	0	"empty"	0	0
1	4	"EC.M"	"*The smallest species of frog in the world lives in Papua \n\nNew Guinea.* Field researchers* discovered the* \n\ntiny frogs with yellow* stripes* on their back* only \n\nrecently* because* the frog's call* resembles the* sound \n\nof an insect in the* dense forests.* They have garnered \n\ninterest from the scientific community in* recent years.*"	"stripes"	"effect"	22	"3rd"	0	"empty"	0	0
1	5	"CE.N"	"*Animal behaviorists recently found that dogs are attuned \n\nto human emotion.* The behaviorists* exposed \n\nthe* dogs at a lab in* Toronto* to human* fear \n\npheromones.* The dogs* displayed* behaviors most commonly associated \n\nwith the experience* of stress.* It brings truth to the rumor that \n\nanimals can* smell fear.*"	"Toronto"	"cause"	21	"2nd"	0	"empty"	0	0
1	6	"F"	"It is believed that animal domestication began with sheep and dogs around \n\n16000 years ago. One way to confirm the origins of domestication is \n\nthrough cave paintings. For example, a painting from the 9th century BC \n\nin Iran depicts a man riding a camel. Camel domestication must reach back \n\nat least that far."	"Iran"	"empty"	0	"empty"	0	"empty"	0	0
1	7	"F"	"Almost half of the nation tuned in to hear The Beatles sing on the Ed \n\nSullivan show. The show made the audience wait until the end before they \n\nlet them perform in order to ensure the audience would watch all the way \n\nthrough. It's still the most watched entertainment ever aired on \n\ntelevision."	"empty"	"empty"	0	"empty"	0	"empty"	0	0
1	8	"EC.B"	"*The Jeju dog was brought back from the edge of extinction \n\nin Korea.* The reason* the Koreans* built a monument* in white* marble* to honor \n\nthe Jeju as a* heritage animal* is* the Japanese* ordered the* slaughter \n\nof dogs indigenous to Korea during one of their* military occupations.* \n\nMany Koreans covet a Jeju as* a pet.*"	"marble"	"effect"	23	"3rd"	0	"empty"	0	0
1	9	"F"	"The Parker Probe is the first space probe to be named after a living \n\nperson. NASA launched the probe with a mission to touch the sun in as \n\nlittle as 12 weeks. The probe also has the distinction of being the \n\nfastest man-made object ever. It has already finished its orbit of Venus."	"sun"	"empty"	0	"empty"	0	"empty"	0	0
1	10	"F"	"The scale of E-flat major is typically used to write music with bold \n\nsounds, as is used in heroic movies. It is unique in that it has three \n\nflats. Brass instruments are usually used to produce the bombastic sounds. \n\nBut, when paired with wind instruments, the scale produces a softer sound."	"empty"	"empty"	0	"empty"	1	"Did the cave paintings depict a man hunting a boar?"	3	0
